sigma_deg,draw,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
2.5,0,57.02,1.0,1.0,6.983172823674977,600.0,0.3878457476507345
2.5,1,57.42,1.0,1.0,7.013650647364557,600.0,0.4377331950803629
2.5,2,51.89,0.0,1.0,6.826186857186258,600.0,0.7563906587649474
2.5,3,54.3,0.0,1.0,6.6628173952922225,600.0,1.0467301315584723
2.5,4,56.98,0.0,1.0,6.737542787566781,600.0,0.946983594156962
2.5,5,56.69,0.0,1.0,6.56609577126801,600.0,1.2116392057887968
2.5,6,55.51,1.0,1.0,7.026807025074959,600.0,0.37267733541717024
2.5,7,55.16,0.0,1.0,6.8759079445153475,600.0,1.0339088924160136
5.0,0,54.03,0.0,1.0,6.7846373319625854,600.0,0.6485912926140728
5.0,1,54.83,0.0,1.0,6.827249238267541,600.0,0.7735854250747457
5.0,2,43.79,0.0,1.0,6.507551975548267,600.0,1.408037570155764
5.0,3,48.6,0.0,1.0,6.173537023365498,600.0,2.0774572078530795
5.0,4,53.96,0.0,1.0,6.314578549936414,600.0,1.8425823086830126
5.0,5,53.39,0.0,1.0,6.047425477299839,600.0,2.406054580176661
5.0,6,51.03,0.0,1.0,6.848887892439961,600.0,0.6450453798624309
5.0,7,50.33,0.0,1.0,6.423661475069821,600.0,2.017071358235649
7.5,0,51.05,0.0,1.0,6.597810676321387,600.0,0.9146831506840946
7.5,1,52.25,0.0,1.0,6.6597781935706735,600.0,1.0995696895572067
7.5,2,35.68,0.0,1.0,6.248831070959568,600.0,2.0358018564551714
7.5,3,42.9,0.0,0.0,5.640356364194304,584.0,nan
7.5,4,50.94,0.0,1.0,5.952873919624835,600.0,2.769827499348656
7.5,5,50.08,0.0,0.0,5.316700739320368,551.0,nan
7.5,6,46.54,0.0,1.0,6.687416721135378,600.0,0.8809588992356144
7.5,7,45.49,0.0,1.0,6.023204360157251,600.0,2.8815431603860913
10.0,0,48.06,0.0,1.0,6.421696954406798,600.0,1.1862104847747619
10.0,1,49.66,0.0,1.0,6.51035366114229,600.0,1.4130161215703967
10.0,2,27.58,0.0,1.0,6.041490994859487,600.0,2.6186173776397714
10.0,3,37.19,0.0,0.0,4.643296544905752,484.0,nan
10.0,4,47.92,0.0,0.0,5.246615604031831,539.0,nan
10.0,5,46.78,0.0,0.0,4.489437674637884,467.0,nan
10.0,6,42.05,0.0,1.0,6.536821182817221,600.0,1.0857044737486028
10.0,7,40.65,0.0,0.0,5.698433192912489,598.0,nan
12.5,0,45.08,0.0,1.0,6.25534819252789,600.0,1.463801558520126
12.5,1,47.08,0.0,1.0,6.3767742700874805,600.0,1.713813971713102
12.5,2,19.47,0.0,1.0,5.879334433935583,600.0,3.129348586236095
12.5,3,31.49,0.0,0.0,3.8967909342609346,408.0,nan
12.5,4,44.9,0.0,0.0,4.580656546168029,473.0,nan
12.5,5,43.47,0.0,0.0,3.9059322350658476,407.0,nan
12.5,6,37.57,0.0,1.0,6.391018329188228,600.0,1.2724484314442783
12.5,7,35.82,0.0,0.0,5.068007613066584,540.0,nan
15.0,0,42.09,0.0,1.0,6.097919465042651,600.0,1.748159364052336
15.0,1,44.5,0.0,1.0,6.256984728388488,600.0,2.002187395197751
15.0,2,11.37,0.0,0.0,5.604745862074196,575.0,nan
15.0,3,25.79,0.0,0.0,3.3186979931779206,349.0,nan
15.0,4,41.88,0.0,0.0,4.066976868547499,422.0,nan
15.0,5,40.17,0.0,0.0,3.477417055517435,363.0,nan
15.0,6,33.08,0.0,1.0,6.244881680235267,600.0,1.4586297081626294
15.0,7,30.98,0.0,0.0,4.627443445846438,500.0,nan
17.5,0,39.11,0.0,1.0,5.948597956448793,600.0,2.040032669403408
17.5,1,41.91,0.0,1.0,6.149236050434411,600.0,2.2783904122514844
17.5,2,3.26,0.0,0.0,5.444933244027197,562.0,nan
17.5,3,20.09,0.0,0.0,2.8490052768029273,301.0,nan
17.5,4,38.86,0.0,0.0,3.6480045109055936,380.0,nan
17.5,5,36.86,0.0,0.0,3.139441975392401,328.0,nan
17.5,6,28.59,0.0,1.0,6.094506417401135,600.0,1.6642178113388295
17.5,7,26.14,0.0,0.0,4.304273076821119,471.0,nan
20.0,0,36.12,0.0,1.0,5.806543963961303,600.0,2.3401607321025875
20.0,1,39.33,0.0,1.0,6.052068238146603,600.0,2.5426360275009032
20.0,2,4.84,0.0,0.0,5.416626411955804,564.0,nan
20.0,3,14.39,0.0,0.0,2.462781717069447,262.0,nan
20.0,4,35.84,0.0,0.0,3.293085092213005,344.0,nan
20.0,5,33.56,0.0,0.0,2.8755486118607223,301.0,nan
20.0,6,24.11,0.0,1.0,5.937347169034183,600.0,1.9091970240839486
20.0,7,21.31,0.0,0.0,4.077104410622269,452.0,nan
22.5,0,33.14,0.0,1.0,5.671118217520416,600.0,2.6492997799289424
22.5,1,36.74,0.0,1.0,5.964244407135993,600.0,2.7950732825366824
22.5,2,12.95,0.0,0.0,5.54830657877028,586.0,nan
22.5,3,8.69,0.0,0.0,2.1073389956727624,225.0,nan
22.5,4,32.83,0.0,0.0,2.99557056510821,314.0,nan
22.5,5,30.25,0.0,0.0,2.6468952344730496,277.0,nan
22.5,6,19.62,0.0,1.0,5.772441531531513,600.0,2.210930121015805
22.5,7,16.47,0.0,0.0,3.9238238371908665,441.0,nan
25.0,0,30.15,0.0,1.0,5.541763678658754,600.0,2.9682137733431047
25.0,1,34.16,0.0,0.0,5.876875007059425,598.0,nan
25.0,2,21.05,0.0,1.0,5.65919388551265,600.0,3.4482271718576216
25.0,3,2.99,0.0,0.0,1.7792567745782435,190.0,nan
25.0,4,29.81,0.0,0.0,2.737493809312582,288.0,nan
25.0,5,26.95,0.0,0.0,2.4630531021393836,258.0,nan
25.0,6,15.13,0.0,1.0,5.600333836860955,600.0,2.582654310622818
25.0,7,11.63,0.0,0.0,3.8381007835268974,438.0,nan
27.5,0,27.17,0.0,1.0,5.41798323392868,600.0,3.2976864590758495
27.5,1,31.58,0.0,0.0,5.664593744557351,577.0,nan
27.5,2,29.16,0.0,1.0,5.721829771529883,600.0,2.930935356205548
27.5,3,2.72,0.0,0.0,1.4808423509821296,158.0,nan
27.5,4,26.79,0.0,0.0,2.5160971442237496,266.0,nan
27.5,5,23.64,0.0,0.0,2.3015463552437723,241.0,nan
27.5,6,10.65,0.0,1.0,5.422642230056226,600.0,3.033716815288079
27.5,7,6.79,0.0,0.0,3.821408408228308,444.0,nan
30.0,0,24.18,0.0,1.0,5.299323821440339,600.0,3.6385601312934432
30.0,1,28.99,0.0,0.0,5.48924298863858,560.0,nan
30.0,2,31.08,0.0,1.0,5.803339348640293,600.0,2.404852912098583
30.0,3,0.92,0.0,0.0,1.208964244928211,129.0,nan
30.0,4,23.77,0.0,0.0,2.3087390679866076,245.0,nan
30.0,5,20.34,0.0,0.0,2.1603354988619685,226.0,nan
30.0,6,6.16,0.0,1.0,5.2416411601006985,600.0,3.5712046333993483
30.0,7,1.96,0.0,0.0,3.8824633695185184,461.0,nan
