sigma_deg,draw,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
2.5,0,2.01,1.0,1.0,7.191826993599534,600.0,0.14053503294934105
2.5,1,3.35,1.0,1.0,7.201281399466097,600.0,0.12897910549811967
2.5,2,4.46,1.0,1.0,7.201694284565747,600.0,0.12722598499043347
2.5,3,5.04,1.0,1.0,7.156927361153066,600.0,0.18597683696504363
2.5,4,2.01,1.0,1.0,7.1935696406289935,600.0,0.1385264802983845
2.5,5,3.04,1.0,1.0,7.193747914396226,600.0,0.13746429857627665
2.5,6,2.4,1.0,1.0,7.190448693931103,600.0,0.14268383917758384
2.5,7,4.65,1.0,1.0,7.178593122400343,600.0,0.15929162732598345
5.0,0,4.02,1.0,1.0,7.185942637734115,600.0,0.1488353608247859
5.0,1,6.7,1.0,1.0,7.222594260238111,600.0,0.10655736578338323
5.0,2,8.93,1.0,1.0,7.195545316673815,600.0,0.15837421565501805
5.0,3,10.08,1.0,1.0,7.041154400445521,600.0,0.35404883707889295
5.0,4,4.03,1.0,1.0,7.192977254278958,600.0,0.14056619035288934
5.0,5,6.09,1.0,1.0,7.193588291294873,600.0,0.1365109158704458
5.0,6,4.8,1.0,1.0,7.179427715949714,600.0,0.15947674769234413
5.0,7,9.3,1.0,1.0,7.124397329986095,600.0,0.24238984430981073
7.5,0,6.03,1.0,1.0,7.175292373634875,600.0,0.16454315882075746
7.5,1,10.05,1.0,1.0,7.246762034483254,600.0,0.09554756708833362
7.5,2,13.39,1.0,1.0,7.133747711777687,600.0,0.31510712136015817
7.5,3,15.13,0.0,1.0,6.852672645822167,600.0,0.6526634716008999
7.5,4,6.04,1.0,1.0,7.191188061609864,600.0,0.14533112409316631
7.5,5,9.13,1.0,1.0,7.192211950197816,600.0,0.13701531667620143
7.5,6,7.2,1.0,1.0,7.157502078451216,600.0,0.19403111896935743
7.5,7,13.95,1.0,1.0,7.025573184713721,600.0,0.4037242060594056
10.0,0,8.04,1.0,1.0,7.158855919726193,600.0,0.18949466312289806
10.0,1,13.4,1.0,1.0,7.240487300790846,600.0,0.14244564962681644
10.0,2,17.85,0.0,1.0,7.029437307268381,600.0,0.5765643183962743
10.0,3,20.17,0.0,1.0,6.60684413369745,600.0,1.0813126802147153
10.0,4,8.05,1.0,1.0,7.186905035749078,600.0,0.15461572831863754
10.0,5,12.17,1.0,1.0,7.1881589302793145,600.0,0.142015383946858
10.0,6,9.6,1.0,1.0,7.122790562920272,600.0,0.2504471879598998
10.0,7,18.6,0.0,1.0,6.886906284838915,600.0,0.6431241513379692
12.5,0,10.06,1.0,1.0,7.13608514983207,600.0,0.22501326804313065
12.5,1,16.75,1.0,1.0,7.19762696325779,600.0,0.2455249497791644
12.5,2,22.31,0.0,1.0,6.899529464542866,600.0,0.9306417600044021
12.5,3,25.21,0.0,1.0,6.320316090248525,600.0,1.643771019547904
12.5,4,10.06,1.0,1.0,7.178832237608731,600.0,0.17034621894087063
12.5,5,15.22,1.0,1.0,7.17990427929908,600.0,0.1549837995670152
12.5,6,12.0,1.0,1.0,7.075066993944347,600.0,0.32989272466093095
12.5,7,23.25,0.0,1.0,6.71522215846926,600.0,0.9604130703292421
15.0,0,12.07,1.0,1.0,7.106895104050636,600.0,0.27171715742938585
15.0,1,20.1,1.0,1.0,7.137667606584728,600.0,0.3882882960246697
15.0,2,26.78,0.0,1.0,6.75444196164608,600.0,1.379960160129309
15.0,3,30.25,0.0,1.0,6.009093839209527,600.0,2.3483517285576627
15.0,4,12.08,1.0,1.0,7.16592176258564,600.0,0.19404894796276098
15.0,5,18.26,1.0,1.0,7.166423041373491,600.0,0.17850838186568596
15.0,6,14.4,1.0,1.0,7.014987942762673,600.0,0.4321700630676552
15.0,7,27.9,0.0,1.0,6.517211600206792,600.0,1.3586279996156294
17.5,0,14.08,1.0,1.0,7.071361373178661,600.0,0.32976384470092934
17.5,1,23.45,0.0,1.0,7.067108079791069,600.0,0.5667902355515289
17.5,2,31.24,0.0,1.0,6.572532618418336,600.0,1.93347101405046
17.5,3,35.29,0.0,0.0,5.6865401598624885,599.0,nan
17.5,4,14.09,1.0,1.0,7.147427133284509,600.0,0.22658107242377554
17.5,5,21.3,1.0,1.0,7.147443917579949,600.0,0.21347962068589513
17.5,6,16.79,0.0,1.0,6.943559596315026,600.0,0.5569951325812657
17.5,7,32.55,0.0,1.0,6.299145881086588,600.0,1.8439781513054752
20.0,0,16.09,1.0,1.0,7.029701837338507,600.0,0.3991383542040055
20.0,1,26.8,0.0,1.0,6.988753978163004,600.0,0.781928078459252
20.0,2,35.7,0.0,1.0,6.3541074600070715,600.0,2.605590618956434
20.0,3,40.34,0.0,0.0,4.8254201342351735,511.0,nan
20.0,4,16.1,1.0,1.0,7.123114199377596,600.0,0.2682450619722724
20.0,5,24.35,1.0,1.0,7.123237849213183,600.0,0.25950771994144983
20.0,6,19.19,0.0,1.0,6.861831406131387,600.0,0.7044031991372958
20.0,7,37.2,0.0,1.0,6.0667002084665,600.0,2.426436555896812
22.5,0,18.1,1.0,1.0,6.982215166091919,600.0,0.47982804933850826
22.5,1,30.15,0.0,1.0,6.903527611866593,600.0,1.0365366469881572
22.5,2,40.16,0.0,0.0,5.884183051530272,569.0,nan
22.5,3,45.38,0.0,0.0,4.127704479265958,439.0,nan
22.5,4,18.12,1.0,1.0,7.093106812797487,600.0,0.3190549172814485
22.5,5,27.39,1.0,1.0,7.0942902425304055,600.0,0.3157517483038622
22.5,6,21.59,0.0,1.0,6.770800991915166,600.0,0.8747851561464619
22.5,7,41.84,0.0,0.0,5.770245197229087,591.0,nan
25.0,0,20.11,0.0,1.0,6.929195235483348,600.0,0.57188772614219
25.0,1,33.5,0.0,1.0,6.791803329251707,600.0,1.3347745009232694
25.0,2,44.63,0.0,0.0,5.177575659006834,504.0,nan
25.0,3,50.42,0.0,0.0,3.545391869265586,378.0,nan
25.0,4,20.13,1.0,1.0,7.0576952723786235,600.0,0.37897293583407876
25.0,5,30.43,1.0,1.0,7.061095298267901,600.0,0.38141141686985447
25.0,6,23.99,0.0,1.0,6.671434609219432,600.0,1.068858855704486
25.0,7,46.49,0.0,0.0,5.092158997897059,523.0,nan
27.5,0,22.12,0.0,1.0,6.870953127741814,600.0,0.6754633010543979
27.5,1,36.85,0.0,1.0,6.651020581834018,600.0,1.682101877763043
27.5,2,49.09,0.0,0.0,4.563210763502866,447.0,nan
27.5,3,55.46,0.0,0.0,3.0667915903031826,328.0,nan
27.5,4,22.14,1.0,1.0,7.0171719286590815,600.0,0.4480230085910398
27.5,5,33.48,1.0,1.0,7.024147546850145,600.0,0.45586463888021594
27.5,6,26.39,0.0,1.0,6.564647135324776,600.0,1.2876575558301224
27.5,7,51.14,0.0,0.0,4.507237783167511,464.0,nan
30.0,0,24.13,0.0,1.0,6.807792623527348,600.0,0.7907951199083011
30.0,1,40.2,0.0,1.0,6.486055328510702,600.0,2.0854821346479953
30.0,2,53.55,0.0,0.0,4.026453995611519,397.0,nan
30.0,3,60.5,0.0,0.0,2.6640557372011244,286.0,nan
30.0,4,24.15,0.0,1.0,6.971796027384698,600.0,0.5263365969952545
30.0,5,36.52,0.0,1.0,6.983883590437472,600.0,0.538654066501668
