arm,offset_deg,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
0,-45.0,45.0,0.0,0.0,4.1290147001855075,428.0,nan
0,-42.5,42.5,0.0,0.0,4.433662760071456,459.0,nan
0,-40.0,40.0,0.0,0.0,4.7692406182177365,493.0,nan
0,-37.5,37.5,0.0,0.0,5.144177116919309,531.0,nan
0,-35.0,35.0,0.0,0.0,5.553917333018035,572.0,nan
0,-32.5,32.5,0.0,1.0,5.88672721805051,600.0,2.8710245925895586
0,-30.0,30.0,0.0,1.0,6.040671972092241,600.0,2.44929622585372
0,-27.5,27.5,0.0,1.0,6.192905695643276,600.0,2.0655233835120135
0,-25.0,25.0,0.0,1.0,6.341823996044695,600.0,1.718143425770874
0,-22.5,22.5,0.0,1.0,6.485596348531544,600.0,1.406009587502245
0,-20.0,20.0,0.0,1.0,6.62220483738929,600.0,1.1283239177886462
0,-17.5,17.5,0.0,1.0,6.749449082650244,600.0,0.8846067267208106
0,-15.0,15.0,0.0,1.0,6.865000822581351,600.0,0.6747046612682144
0,-12.5,12.5,1.0,1.0,6.9664232498034835,600.0,0.49880493482724236
0,-10.0,10.0,1.0,1.0,7.0512557700276375,600.0,0.35753768629920674
0,-7.5,7.5,1.0,1.0,7.117099202238023,600.0,0.25200424312297504
0,-5.0,5.0,1.0,1.0,7.162180056795478,600.0,0.1830082262407502
0,-2.5,2.5,1.0,1.0,7.186405756510794,600.0,0.14784149140858646
0,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
0,2.5,2.5,1.0,1.0,7.186406137421727,600.0,0.14784071017435885
0,5.0,5.0,1.0,1.0,7.162180408835411,600.0,0.18300974349811827
0,7.5,7.5,1.0,1.0,7.117098652757704,600.0,0.25200437356742744
0,10.0,10.0,1.0,1.0,7.051255902275443,600.0,0.357537454057276
0,12.5,12.5,1.0,1.0,6.966422465629876,600.0,0.49880482902606244
0,15.0,15.0,0.0,1.0,6.864999261684716,600.0,0.6747042693681004
0,17.5,17.5,0.0,1.0,6.749446377158165,600.0,0.8846055918942697
0,20.0,20.0,0.0,1.0,6.622202712111175,600.0,1.128320143673285
0,22.5,22.5,0.0,1.0,6.485589788295329,600.0,1.4060040308217039
0,25.0,25.0,0.0,1.0,6.341812874190509,600.0,1.7181371603739064
0,27.5,27.5,0.0,1.0,6.192893993575126,600.0,2.0655093765314785
0,30.0,30.0,0.0,1.0,6.040651499759406,600.0,2.4492833164923575
0,32.5,32.5,0.0,1.0,5.88670314848423,600.0,2.871009057217986
0,35.0,35.0,0.0,0.0,5.553885290399194,572.0,nan
0,37.5,37.5,0.0,0.0,5.144133380614221,531.0,nan
0,40.0,40.0,0.0,0.0,4.769184970762581,493.0,nan
0,42.5,42.5,0.0,0.0,4.433591155800968,459.0,nan
0,45.0,45.0,0.0,0.0,4.128919887822121,428.0,nan
1,-45.0,45.0,0.0,1.0,5.716347918845713,600.0,2.7720378732591886
1,-42.5,42.5,0.0,1.0,5.8455178015865386,600.0,2.461851947881811
1,-40.0,40.0,0.0,1.0,5.97305689798668,600.0,2.1750361882438414
1,-37.5,37.5,0.0,1.0,6.098280074074864,600.0,1.910463885007148
1,-35.0,35.0,0.0,1.0,6.220446223393083,600.0,1.6671271544604196
1,-32.5,32.5,0.0,1.0,6.338802269659936,600.0,1.4441262446342131
1,-30.0,30.0,0.0,1.0,6.452555107884109,600.0,1.240663266679022
1,-27.5,27.5,0.0,1.0,6.560913095250726,600.0,1.0560282346777472
1,-25.0,25.0,0.0,1.0,6.663076025433838,600.0,0.8895979154642266
1,-22.5,22.5,0.0,1.0,6.75826012622565,600.0,0.740829980239746
1,-20.0,20.0,0.0,1.0,6.84569781832397,600.0,0.6092612425546305
1,-17.5,17.5,1.0,1.0,6.924661537632346,600.0,0.49451311224622224
1,-15.0,15.0,1.0,1.0,6.99446739256382,600.0,0.39628648055766136
1,-12.5,12.5,1.0,1.0,7.054519549012184,600.0,0.31436135827882644
1,-10.0,10.0,1.0,1.0,7.104287873953581,600.0,0.24856628597249159
1,-7.5,7.5,1.0,1.0,7.143327025696635,600.0,0.19868964810198314
1,-5.0,5.0,1.0,1.0,7.17131520062685,600.0,0.16427458033827116
1,-2.5,2.5,1.0,1.0,7.188100729137659,600.0,0.14442043331840085
1,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
1,2.5,2.5,1.0,1.0,7.188100524246693,600.0,0.14442045570275588
1,5.0,5.0,1.0,1.0,7.171314624138176,600.0,0.16427510206287113
1,7.5,7.5,1.0,1.0,7.143327202647924,600.0,0.19869010217829122
1,10.0,10.0,1.0,1.0,7.104287506081164,600.0,0.24856726418793898
1,12.5,12.5,1.0,1.0,7.054517809301615,600.0,0.31436125054032
1,15.0,15.0,1.0,1.0,6.994465799070895,600.0,0.3962863761725438
1,17.5,17.5,1.0,1.0,6.924657227471471,600.0,0.49451226401144655
1,20.0,20.0,0.0,1.0,6.845688764937222,600.0,0.6092587290690998
1,22.5,22.5,0.0,1.0,6.75825069937855,600.0,0.7408264704942328
1,25.0,25.0,0.0,1.0,6.663062182255089,600.0,0.889592671232357
1,27.5,27.5,0.0,1.0,6.560894095338881,600.0,1.0560221740485651
1,30.0,30.0,0.0,1.0,6.452530081383884,600.0,1.2406556258929653
1,32.5,32.5,0.0,1.0,6.338768462650478,600.0,1.4441150780805194
1,35.0,35.0,0.0,1.0,6.220405022613704,600.0,1.667115099337085
1,37.5,37.5,0.0,1.0,6.098228961229324,600.0,1.9104504797339144
1,40.0,40.0,0.0,1.0,5.9729951824992895,600.0,2.175024421123318
1,42.5,42.5,0.0,1.0,5.845441203564405,600.0,2.4618398814613256
1,45.0,45.0,0.0,1.0,5.716255174018443,600.0,2.772032635487006
2,-45.0,45.0,0.0,1.0,6.482595176436007,600.0,2.0088430947903313
2,-42.5,42.5,0.0,1.0,6.55592249520123,600.0,1.7872131795110877
2,-40.0,40.0,0.0,1.0,6.624370636418462,600.0,1.5792513898931027
2,-37.5,37.5,0.0,1.0,6.688184992410243,600.0,1.3846490182864046
2,-35.0,35.0,0.0,1.0,6.750967490486801,600.0,1.2031943620747039
2,-32.5,32.5,0.0,1.0,6.812518975697458,600.0,1.0347517900214476
2,-30.0,30.0,0.0,1.0,6.872227503918111,600.0,0.8792715847287016
2,-27.5,27.5,0.0,1.0,6.929436765611172,600.0,0.7367922218455247
2,-25.0,25.0,0.0,1.0,6.983450965024531,600.0,0.6074538322996593
2,-22.5,22.5,1.0,1.0,7.033512374386191,600.0,0.4915456985230012
2,-20.0,20.0,1.0,1.0,7.078761732205749,600.0,0.3895776219254441
2,-17.5,17.5,1.0,1.0,7.118204492144287,600.0,0.3024212395696755
2,-15.0,15.0,1.0,1.0,7.150640722364187,600.0,0.23153749634648446
2,-12.5,12.5,1.0,1.0,7.174781968817115,600.0,0.17908693135487205
2,-10.0,10.0,1.0,1.0,7.189621226862073,600.0,0.14704702763867894
2,-7.5,7.5,1.0,1.0,7.195720810443163,600.0,0.13405212456213875
2,-5.0,5.0,1.0,1.0,7.196073696017265,600.0,0.133277170549131
2,-2.5,2.5,1.0,1.0,7.194507899694145,600.0,0.13638556102800917
2,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
2,2.5,2.5,1.0,1.0,7.19450761936605,600.0,0.13638554073366507
2,5.0,5.0,1.0,1.0,7.1960738664492965,600.0,0.1332779363218107
2,7.5,7.5,1.0,1.0,7.195721720345318,600.0,0.13405210487491406
2,10.0,10.0,1.0,1.0,7.18962243385613,600.0,0.14704658305333618
2,12.5,12.5,1.0,1.0,7.174782165326178,600.0,0.17908609853241178
2,15.0,15.0,1.0,1.0,7.150640190578997,600.0,0.23153613273847218
2,17.5,17.5,1.0,1.0,7.118202240206301,600.0,0.30241985068168475
2,20.0,20.0,1.0,1.0,7.078757828101516,600.0,0.3895742757639788
2,22.5,22.5,1.0,1.0,7.033504501916468,600.0,0.49154255089490984
2,25.0,25.0,0.0,1.0,6.983438786119223,600.0,0.6074500292034313
2,27.5,27.5,0.0,1.0,6.929424441419542,600.0,0.7367871315746976
2,30.0,30.0,0.0,1.0,6.872208198532462,600.0,0.8792662519366782
2,32.5,32.5,0.0,1.0,6.812495278194547,600.0,1.0347460206917363
2,35.0,35.0,0.0,1.0,6.750937862321734,600.0,1.2031873111640572
2,37.5,37.5,0.0,1.0,6.688146962784231,600.0,1.3846423509679247
2,40.0,40.0,0.0,1.0,6.624324630014598,600.0,1.5792424181110747
2,42.5,42.5,0.0,1.0,6.555869169533253,600.0,1.7872033943943908
2,45.0,45.0,0.0,1.0,6.482530771754682,600.0,2.0088320274901696
3,-45.0,45.0,0.0,0.0,4.211441570427269,413.0,nan
3,-42.5,42.5,0.0,0.0,4.5524420640431345,445.0,nan
3,-40.0,40.0,0.0,0.0,4.928573125973344,480.0,nan
3,-37.5,37.5,0.0,0.0,5.348769878502935,519.0,nan
3,-35.0,35.0,0.0,0.0,5.814533531200141,562.0,nan
3,-32.5,32.5,0.0,1.0,6.255248058121651,600.0,2.9059334887500783
3,-30.0,30.0,0.0,1.0,6.416570191271603,600.0,2.4312390587154407
3,-27.5,27.5,0.0,1.0,6.567669971846044,600.0,2.006416747861804
3,-25.0,25.0,0.0,1.0,6.704490545205772,600.0,1.6279926996573013
3,-22.5,22.5,0.0,1.0,6.822118401527405,600.0,1.2930915281440964
3,-20.0,20.0,0.0,1.0,6.9155485816299915,600.0,0.9993915580904569
3,-17.5,17.5,0.0,1.0,6.998917342163622,600.0,0.7451449883047984
3,-15.0,15.0,0.0,1.0,7.076039749197662,600.0,0.5293271400938317
3,-12.5,12.5,1.0,1.0,7.143125951290131,600.0,0.3520881911736472
3,-10.0,10.0,1.0,1.0,7.194532560184598,600.0,0.21641174224955864
3,-7.5,7.5,1.0,1.0,7.220581685192883,600.0,0.1329486094326632
3,-5.0,5.0,1.0,1.0,7.215887246653438,600.0,0.11440005790141908
3,-2.5,2.5,1.0,1.0,7.200405898503959,600.0,0.1294425147191944
3,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
3,2.5,2.5,1.0,1.0,7.200406374409795,600.0,0.12944301163754643
3,5.0,5.0,1.0,1.0,7.2158875297755,600.0,0.11440031565456986
3,7.5,7.5,1.0,1.0,7.220582852140069,600.0,0.13294695324171998
3,10.0,10.0,1.0,1.0,7.194534696638584,600.0,0.21640944788801333
3,12.5,12.5,1.0,1.0,7.143129860982299,600.0,0.352084158745764
3,15.0,15.0,0.0,1.0,7.076044177636504,600.0,0.529320998885366
3,17.5,17.5,0.0,1.0,6.998919792473316,600.0,0.7451381851089725
3,20.0,20.0,0.0,1.0,6.915552904829383,600.0,0.9993793200977636
3,22.5,22.5,0.0,1.0,6.822122072800994,600.0,1.2930774585805005
3,25.0,25.0,0.0,1.0,6.704492845572531,600.0,1.627973925289612
3,27.5,27.5,0.0,1.0,6.567672586068511,600.0,2.0063904091671745
3,30.0,30.0,0.0,1.0,6.416572463698685,600.0,2.4312047343398357
3,32.5,32.5,0.0,1.0,6.25524681340903,600.0,2.905891928139419
3,35.0,35.0,0.0,0.0,5.814531617797911,562.0,nan
3,37.5,37.5,0.0,0.0,5.348760383669287,519.0,nan
3,40.0,40.0,0.0,0.0,4.928549352101982,480.0,nan
3,42.5,42.5,0.0,0.0,4.552408693823963,445.0,nan
3,45.0,45.0,0.0,0.0,4.211399007588625,413.0,nan
