sigma_deg,draw,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
2.5,0,57.02,1.0,1.0,7.272034361027181,600.0,0.07660160952435656
2.5,1,57.42,1.0,1.0,7.300366178154945,600.0,0.047804441404536005
2.5,2,51.89,1.0,1.0,7.291946329176426,600.0,0.03748510820529025
2.5,3,54.3,1.0,1.0,7.2949961088597775,600.0,0.049771848916656446
2.5,4,56.98,1.0,1.0,7.281048242002726,600.0,0.05587426538596394
2.5,5,56.69,1.0,1.0,7.294441810809076,600.0,0.043149696519887974
2.5,6,55.51,1.0,1.0,7.2744012624025345,600.0,0.07139625059481867
2.5,7,55.16,1.0,1.0,7.228900006040931,600.0,0.13067037833242556
5.0,0,54.03,1.0,1.0,7.204599009826779,600.0,0.11855185937332177
5.0,1,54.83,1.0,1.0,7.304759266786277,600.0,0.04529613571127978
5.0,2,43.79,1.0,1.0,7.251447772607207,600.0,0.05394619990155568
5.0,3,48.6,1.0,1.0,7.282554809004068,600.0,0.05915697193892057
5.0,4,53.96,1.0,1.0,7.256481007672846,600.0,0.07021349060342508
5.0,5,53.39,1.0,1.0,7.222416850738227,600.0,0.07900746295941062
5.0,6,51.03,1.0,1.0,7.229560506530106,600.0,0.11081111711049611
5.0,7,50.33,1.0,1.0,7.110288865864277,600.0,0.21557274158351233
7.5,0,51.05,1.0,1.0,7.142100851982832,600.0,0.16258653778059382
7.5,1,52.25,1.0,1.0,7.306492484174669,600.0,0.046415857340917126
7.5,2,35.68,1.0,1.0,7.194508843123913,600.0,0.0829219570114131
7.5,3,42.9,1.0,1.0,7.237046689726412,600.0,0.07281664032348519
7.5,4,50.94,1.0,1.0,7.22191063221544,600.0,0.09445567887369892
7.5,5,50.08,1.0,1.0,7.141948724165559,600.0,0.11773087620311747
7.5,6,46.54,1.0,1.0,7.1587909469380975,600.0,0.15095339342065506
7.5,7,45.49,1.0,1.0,6.947196519002318,600.0,0.30172217390449624
10.0,0,48.06,1.0,1.0,7.078398012556136,600.0,0.21108576846984214
10.0,1,49.66,1.0,1.0,7.304943571798503,600.0,0.04935650911383969
10.0,2,27.58,1.0,1.0,7.146920017898083,600.0,0.10850606618139459
10.0,3,37.19,1.0,1.0,7.171538381837308,600.0,0.09847634186102756
10.0,4,47.92,1.0,1.0,7.182949509471655,600.0,0.1208963099955542
10.0,5,46.78,1.0,1.0,7.058493373915553,600.0,0.16052225802003858
10.0,6,42.05,1.0,1.0,7.118613483384252,600.0,0.17248719532962326
10.0,7,40.65,1.0,1.0,6.805037807673216,600.0,0.3867476430993784
12.5,0,45.08,1.0,1.0,7.011546378023922,600.0,0.257042491564571
12.5,1,47.08,1.0,1.0,7.302474618889391,600.0,0.05467054066219049
12.5,2,19.47,1.0,1.0,7.104029959999025,600.0,0.13214211173017174
12.5,3,31.49,1.0,1.0,7.102183637209237,600.0,0.1361581238518378
12.5,4,44.9,1.0,1.0,7.141418413259089,600.0,0.14906463066398193
12.5,5,43.47,1.0,1.0,6.9704860569909215,600.0,0.20903354063986598
12.5,6,37.57,1.0,1.0,7.067524979822338,600.0,0.21328333891244694
