sigma_deg,draw,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
2.5,0,2.01,1.0,1.0,7.3042016280815005,600.0,0.04737703959643244
2.5,1,3.35,1.0,1.0,7.302771531976759,600.0,0.04817571079741767
2.5,2,4.46,1.0,1.0,7.306407195515931,600.0,0.04701668221905166
2.5,3,5.04,1.0,1.0,7.304970785975456,600.0,0.046306565825023134
2.5,4,2.01,1.0,1.0,7.303880536928773,600.0,0.04757439929383285
2.5,5,3.04,1.0,1.0,7.30619518365711,600.0,0.04612849669820781
2.5,6,2.4,1.0,1.0,7.304206722415984,600.0,0.0478142680187882
2.5,7,4.65,1.0,1.0,7.302464899607003,600.0,0.04836252123318642
5.0,0,4.02,1.0,1.0,7.303121616132557,600.0,0.04825841469728193
5.0,1,6.7,1.0,1.0,7.300158426165581,600.0,0.05059896089936216
5.0,2,8.93,1.0,1.0,7.305206287652254,600.0,0.05177052456995286
5.0,3,10.08,1.0,1.0,7.305941364727914,600.0,0.04332994675174519
5.0,4,4.03,1.0,1.0,7.302683813497424,600.0,0.048414075957619894
5.0,5,6.09,1.0,1.0,7.307794533669949,600.0,0.045585615392595875
5.0,6,4.8,1.0,1.0,7.30382161680609,600.0,0.048222901803774386
5.0,7,9.3,1.0,1.0,7.303178872913122,600.0,0.04610177904381594
7.5,0,6.03,1.0,1.0,7.300909127108753,600.0,0.049081655244684524
7.5,1,10.05,1.0,1.0,7.2969744792208076,600.0,0.05354685537082506
7.5,2,13.39,1.0,1.0,7.302521011792123,600.0,0.06049657856110202
7.5,3,15.13,1.0,1.0,7.311177749186754,600.0,0.036553453231065076
7.5,4,6.04,1.0,1.0,7.301654857583344,600.0,0.04893705530503454
7.5,5,9.13,1.0,1.0,7.308598894625902,600.0,0.04586144716408798
7.5,6,7.2,1.0,1.0,7.299922496080399,600.0,0.04829461248711072
7.5,7,13.95,1.0,1.0,7.301700328476727,600.0,0.04217378344021612
10.0,0,8.04,1.0,1.0,7.301827313378453,600.0,0.047980010895377005
10.0,1,13.4,1.0,1.0,7.293474446050823,600.0,0.057311600515938484
10.0,2,17.85,1.0,1.0,7.297352894209325,600.0,0.07390574944135457
10.0,3,20.17,1.0,1.0,7.312647120095789,600.0,0.029059632115897127
10.0,4,8.05,1.0,1.0,7.300015717744827,600.0,0.04852851908201488
10.0,5,12.17,1.0,1.0,7.309202568605542,600.0,0.046528769572181085
10.0,6,9.6,1.0,1.0,7.300420882180333,600.0,0.04677199216329975
10.0,7,18.6,1.0,1.0,7.300497785210609,600.0,0.03765299179623997
12.5,0,10.06,1.0,1.0,7.299776879139245,600.0,0.04738818192007055
12.5,1,16.75,1.0,1.0,7.289911538362503,600.0,0.061638683570312616
12.5,2,22.31,1.0,1.0,7.288004757836461,600.0,0.09287472978156577
12.5,3,25.21,1.0,1.0,7.314963655546308,600.0,0.024593814118101857
12.5,4,10.06,1.0,1.0,7.300298880785704,600.0,0.047640007719842704
12.5,5,15.22,1.0,1.0,7.309445625171065,600.0,0.047812512889247455
12.5,6,12.0,1.0,1.0,7.298526845872402,600.0,0.0446625116008059
12.5,7,23.25,1.0,1.0,7.2963572312146425,600.0,0.03499136044053415
15.0,0,12.07,1.0,1.0,7.29735363367945,600.0,0.04676445928187699
15.0,1,20.1,1.0,1.0,7.285123095847666,600.0,0.06743203006451122
15.0,2,26.78,1.0,1.0,7.2731232875958085,600.0,0.11480448452900201
15.0,3,30.25,1.0,1.0,7.276037666015327,600.0,0.03481048482278528
15.0,4,12.08,1.0,1.0,7.298051914200187,600.0,0.04697161879431407
15.0,5,18.26,1.0,1.0,7.309289608150721,600.0,0.04994699871867492
15.0,6,14.4,1.0,1.0,7.2992944633588195,600.0,0.04207288535906546
15.0,7,27.9,1.0,1.0,7.280605788342655,600.0,0.03982788909085541
17.5,0,14.08,1.0,1.0,7.298461305908859,600.0,0.04493995854835417
17.5,1,23.45,1.0,1.0,7.279865707270801,600.0,0.07448705784944563
17.5,2,31.24,1.0,1.0,7.240306611172855,600.0,0.14221880197079884
17.5,3,35.29,1.0,1.0,7.224620359018445,600.0,0.05549227140847751
17.5,4,14.09,1.0,1.0,7.299148043617606,600.0,0.045433837148478685
17.5,5,21.3,1.0,1.0,7.307845691218972,600.0,0.05320421673331164
17.5,6,16.79,1.0,1.0,7.296528740786016,600.0,0.040658566833031956
17.5,7,32.55,1.0,1.0,7.2465441217646,600.0,0.05518475308860999
20.0,0,16.09,1.0,1.0,7.296530588530004,600.0,0.04361432879195469
20.0,1,26.8,1.0,1.0,7.273856769315898,600.0,0.08291580314276178
20.0,2,35.7,1.0,1.0,7.183148562908173,600.0,0.17535926808353977
20.0,3,40.34,1.0,1.0,7.164547394029796,600.0,0.08397559118839157
20.0,4,16.1,1.0,1.0,7.298740612342954,600.0,0.044167035171708356
20.0,5,24.35,1.0,1.0,7.3048432525247335,600.0,0.05777678156341519
20.0,6,19.19,1.0,1.0,7.2954566134139895,600.0,0.03934530789731225
20.0,7,37.2,1.0,1.0,7.203041596338153,600.0,0.07728637403767734
22.5,0,18.1,1.0,1.0,7.296729160472751,600.0,0.041880789369088636
22.5,1,30.15,1.0,1.0,7.2678370252251625,600.0,0.09241725641789011
22.5,2,40.16,1.0,1.0,7.1147379064932466,600.0,0.21469865546043757
22.5,3,45.38,1.0,1.0,7.09596018306911,600.0,0.11830897775042838
22.5,4,18.12,1.0,1.0,7.297564662061632,600.0,0.04342283910119737
22.5,5,27.39,1.0,1.0,7.299739711917937,600.0,0.06392111007252965
22.5,6,21.59,1.0,1.0,7.2892971727997065,600.0,0.03930132662488036
22.5,7,41.84,1.0,1.0,7.149592885747552,600.0,0.10587541058484178
25.0,0,20.11,1.0,1.0,7.2960471557453275,600.0,0.04065911363487612
25.0,1,33.5,1.0,1.0,7.260941093787551,600.0,0.10359205351966737
25.0,2,44.63,1.0,1.0,7.035001594573259,600.0,0.26111703876280073
25.0,3,50.42,1.0,1.0,7.019357007928193,600.0,0.15924102726519254
25.0,4,20.13,1.0,1.0,7.297003861516714,600.0,0.042529192693473904
25.0,5,30.43,1.0,1.0,7.291952029801905,600.0,0.07054117318076943
25.0,6,23.99,1.0,1.0,7.281033288687468,600.0,0.04166888849157919
25.0,7,46.49,1.0,1.0,7.085500189103186,600.0,0.1406470541724364
27.5,0,22.12,1.0,1.0,7.293628625571728,600.0,0.039670415445997885
27.5,1,36.85,1.0,1.0,7.253087032586336,600.0,0.11664384630579268
27.5,2,49.09,1.0,1.0,6.943496782332659,600.0,0.3155455359898101
27.5,3,55.46,1.0,1.0,6.9317092057317495,600.0,0.20617852955914057
27.5,4,22.14,1.0,1.0,7.295080148614943,600.0,0.04190000901692019
27.5,5,33.48,1.0,1.0,7.282445168122649,600.0,0.07823433692620045
27.5,6,26.39,1.0,1.0,7.267335483804345,600.0,0.04693999781595266
27.5,7,51.14,1.0,1.0,7.011811398901045,600.0,0.1808127497900778
30.0,0,24.13,1.0,1.0,7.2925877794623375,600.0,0.03863479315385316
30.0,1,40.2,1.0,1.0,7.243849848397076,600.0,0.13191043709662414
30.0,2,53.55,1.0,1.0,6.840220898389816,600.0,0.3789398698495098
30.0,3,60.5,1.0,1.0,6.831703192554414,600.0,0.25983778921087197
30.0,4,24.15,1.0,1.0,7.293311960995197,600.0,0.041959773506914655
30.0,5,36.52,1.0,1.0,7.270149358548224,600.0,0.08720095996769969
30.0,6,28.79,1.0,1.0,7.249126432463527,600.0,0.05611826691956019
30.0,7,55.79,1.0,1.0,6.92755451798439,600.0,0.22692649371060927
